Date,Open,High,Low,Close,Adj Close,Volume
2020-03-12,0.400000,0.410000,0.350000,0.350000,0.350000,986900
2020-03-13,0.360000,0.500000,0.350000,0.370000,0.370000,910400
2020-03-16,0.370000,0.370000,0.330000,0.340000,0.340000,529400
2020-03-17,0.350000,0.360000,0.320000,0.350000,0.350000,484000
2020-03-18,0.360000,0.400000,0.270000,0.330000,0.330000,1417300
2020-03-19,0.320000,0.360000,0.310000,0.330000,0.330000,634300
2020-03-20,0.340000,0.350000,0.310000,0.350000,0.350000,399200
2020-03-23,0.350000,0.370000,0.320000,0.360000,0.360000,1018600
2020-03-24,0.370000,0.390000,0.340000,0.390000,0.390000,1524900
2020-03-25,0.420000,0.450000,0.390000,0.440000,0.440000,1447600
2020-03-26,0.440000,0.440000,0.400000,0.410000,0.410000,658700
2020-03-27,0.400000,0.410000,0.360000,0.370000,0.370000,809700
2020-03-30,0.350000,0.380000,0.330000,0.370000,0.370000,483900
2020-03-31,0.400000,0.400000,0.350000,0.360000,0.360000,560000
2020-04-01,0.400000,0.480000,0.370000,0.420000,0.420000,4217500
2020-04-02,0.440000,0.440000,0.370000,0.370000,0.370000,819000
2020-04-03,0.360000,0.380000,0.320000,0.340000,0.340000,988000
2020-04-06,0.350000,0.400000,0.350000,0.370000,0.370000,872800
2020-04-07,0.400000,0.400000,0.350000,0.360000,0.360000,856500
2020-04-08,0.360000,0.380000,0.340000,0.350000,0.350000,1712000
2020-04-09,0.350000,0.360000,0.340000,0.350000,0.350000,1948400
2020-04-13,0.350000,0.360000,0.340000,0.360000,0.360000,1593200
2020-04-14,0.360000,0.380000,0.350000,0.380000,0.380000,1803800
2020-04-15,0.380000,0.380000,0.350000,0.360000,0.360000,730900
2020-04-16,0.360000,0.370000,0.340000,0.360000,0.360000,942700
2020-04-17,0.360000,0.360000,0.330000,0.350000,0.350000,1027600
2020-04-20,0.350000,0.360000,0.330000,0.340000,0.340000,1154500
2020-04-21,0.360000,0.370000,0.320000,0.330000,0.330000,2922900
2020-04-22,0.330000,0.360000,0.330000,0.350000,0.350000,1300400
2020-04-23,0.350000,0.380000,0.340000,0.370000,0.370000,1325300
2020-04-24,0.380000,0.430000,0.360000,0.390000,0.390000,1986700
2020-04-27,0.430000,0.430000,0.390000,0.410000,0.410000,793000
2020-04-28,0.410000,0.480000,0.410000,0.450000,0.450000,1728300
2020-04-29,0.460000,0.500000,0.440000,0.490000,0.490000,2209600
2020-04-30,0.540000,0.550000,0.500000,0.520000,0.520000,1884900
2020-05-01,0.520000,0.530000,0.460000,0.490000,0.490000,1615900
2020-05-04,0.490000,0.490000,0.450000,0.470000,0.470000,603100
2020-05-05,0.470000,0.470000,0.440000,0.440000,0.440000,948700
2020-05-06,0.440000,0.470000,0.430000,0.460000,0.460000,826100
2020-05-07,0.470000,0.580000,0.470000,0.500000,0.500000,6635800
2020-05-08,0.500000,0.520000,0.460000,0.500000,0.500000,1543000
2020-05-11,0.470000,0.530000,0.470000,0.510000,0.510000,1425000
2020-05-12,0.580000,0.580000,0.510000,0.520000,0.520000,2961200
2020-05-13,0.550000,0.650000,0.540000,0.570000,0.570000,6736900
2020-05-14,0.600000,0.610000,0.540000,0.560000,0.560000,1681500
2020-05-15,0.560000,0.570000,0.520000,0.530000,0.530000,1371200
2020-05-18,0.580000,0.610000,0.550000,0.570000,0.570000,3274400
2020-05-19,0.500000,0.500000,0.450000,0.470000,0.470000,3219500
2020-05-20,0.480000,0.480000,0.450000,0.470000,0.470000,1326600
2020-05-21,0.460000,0.480000,0.460000,0.470000,0.470000,699500
2020-05-22,0.480000,0.560000,0.470000,0.530000,0.530000,4728600
2020-05-26,0.520000,0.530000,0.490000,0.500000,0.500000,1552800
2020-05-27,0.510000,0.530000,0.500000,0.500000,0.500000,1433300
2020-05-28,0.460000,0.510000,0.460000,0.490000,0.490000,1091700
2020-05-29,0.490000,0.500000,0.480000,0.490000,0.490000,419500
2020-06-01,0.490000,0.520000,0.490000,0.500000,0.500000,467900
2020-06-02,0.510000,0.510000,0.490000,0.490000,0.490000,276800
2020-06-03,0.490000,0.510000,0.480000,0.510000,0.510000,1265100
2020-06-04,0.500000,0.530000,0.500000,0.510000,0.510000,789700
2020-06-05,0.530000,0.550000,0.520000,0.530000,0.530000,1161500
2020-06-08,0.540000,0.680000,0.530000,0.660000,0.660000,4130800
2020-06-09,0.640000,0.650000,0.580000,0.630000,0.630000,2124400
2020-06-10,0.610000,0.640000,0.590000,0.620000,0.620000,886000
2020-06-11,0.590000,0.620000,0.560000,0.580000,0.580000,1749000
2020-06-12,0.570000,0.620000,0.570000,0.590000,0.590000,1103600
2020-06-15,0.680000,0.740000,0.600000,0.640000,0.640000,12450500
2020-06-16,0.640000,0.660000,0.610000,0.620000,0.620000,2140600
2020-06-17,0.590000,0.660000,0.590000,0.650000,0.650000,1404900
2020-06-18,0.620000,0.640000,0.610000,0.610000,0.610000,1129700
2020-06-19,0.620000,0.640000,0.590000,0.590000,0.590000,1441400
2020-06-22,0.600000,0.600000,0.580000,0.590000,0.590000,1225700
2020-06-23,0.600000,0.620000,0.580000,0.590000,0.590000,1925400
2020-06-24,0.580000,0.590000,0.550000,0.570000,0.570000,1321500
2020-06-25,0.570000,0.580000,0.550000,0.570000,0.570000,750800
2020-06-26,0.570000,0.610000,0.560000,0.580000,0.580000,1303200
2020-06-29,0.600000,0.600000,0.560000,0.570000,0.570000,770000
2020-06-30,0.570000,0.580000,0.510000,0.540000,0.540000,1736400
2020-07-01,0.550000,0.570000,0.550000,0.560000,0.560000,620500
2020-07-02,0.570000,0.570000,0.520000,0.540000,0.540000,575700
